RecNo,PointNo,Lon_ext,Lat_ext,alt,tmin1,tmax1,prec1,tmin2,tmax2,prec2,tmin3,tmax3,March precipitation,tmin4,tmax4,April precipitation,tmin5,tmax5,May precipitation,tmin6,tmax6,prec6,tmin7,tmax7,prec7,tmin8,tmax8,prec8,tmin9,tmax9,September precipitation,tmin10,tmax10,October precipitation,tmin11,tmax11,November precipitation,tmin12,tmax12,prec12,Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,cov
1,1,-67.23329926,-33.08330154,465,18,34,58,17,32.2,49,14.8,29.6,39,9.4,24.3,16,5.7,20.1,9,2.9,16.3,6,1.6,17.1,8,3.6,19.4,6,6.7,23,11,10.5,26,28,14.6,30,34,16.8,32.4,54,17.75,15.23333333,47.01646091,611.592556,34,1.6,32.4,25.06666667,10.15,25.06666667,10.15,318,58,6,74.68717461,161,20,161,20,14
2,2,-67.1832962,-33.41669846,462,17.3,33.8,58,16.3,32,48,14.2,29.6,40,8.9,24.3,17,5.1,20,11,2.4,16.2,6,1.3,17.1,10,3,19.1,7,6.1,22.8,12,9.9,25.8,33,14.1,29.8,35,16.2,32.1,55,17.39166667,15.65,48.15384615,606.5844516,33.8,1.3,32.5,24.61666667,9.85,24.61666667,9.85,332,58,6,70.29562256,161,23,161,23,12
3,3,-67.23332977,-33.04999924,465,18,34,58,17,32.2,49,14.8,29.6,39,9.4,24.3,16,5.7,20.1,9,2.9,16.3,6,1.6,17.1,8,3.6,19.4,6,6.7,23,11,10.5,26,28,14.6,30,34,16.8,32.4,54,17.75,15.23333333,47.01646091,611.592556,34,1.6,32.4,25.06666667,10.15,25.06666667,10.15,318,58,6,74.68717461,161,20,161,20,14
4,4,-67.23332977,-33.04999924,465,18,34,58,17,32.2,49,14.8,29.6,39,9.4,24.3,16,5.7,20.1,9,2.9,16.3,6,1.6,17.1,8,3.6,19.4,6,6.7,23,11,10.5,26,28,14.6,30,34,16.8,32.4,54,17.75,15.23333333,47.01646091,611.592556,34,1.6,32.4,25.06666667,10.15,25.06666667,10.15,318,58,6,74.68717461,161,20,161,20,19
5,5,-68.80000305,-34.93330002,1312,11.3,28.3,32,10.4,27.8,33,8.1,24.4,31,3.1,19.9,21,0.1,15.5,16,-2.6,12,18,-2.8,12.1,23,-1.9,14.2,20,0.6,16.9,23,4.1,20.3,25,7.5,24.5,30,10,27,29,12.11666667,16.25,52.25080386,570.029239,28.3,-2.8,31.1,18.38333333,8,19.13333333,5.166666667,301,33,16,23.08779969,96,55,94,61,19
6,6,-68.63330078,-34.86669922,1273,11.6,28.5,37,10.7,28.1,36,8.4,24.6,34,3.1,20,21,0.2,15.6,14,-2.6,12.2,15,-2.7,12.4,19,-1.8,14.4,18,0.9,17.3,22,4.3,20.4,27,7.9,24.8,32,10.2,27.2,33,12.32083333,16.275,52.16346154,574.7626322,28.5,-2.7,31.2,18.65,5.85,19.38333333,5.316666667,308,37,14,32.98989473,107,48,106,52,19
7,7,-68.63330078,-34.86669922,1273,11.6,28.5,37,10.7,28.1,36,8.4,24.6,34,3.1,20,21,0.2,15.6,14,-2.6,12.2,15,-2.7,12.4,19,-1.8,14.4,18,0.9,17.3,22,4.3,20.4,27,7.9,24.8,32,10.2,27.2,33,12.32083333,16.275,52.16346154,574.7626322,28.5,-2.7,31.2,18.65,5.85,19.38333333,5.316666667,308,37,14,32.98989473,107,48,106,52,19
8,8,-67.91670227,-30.08329964,1290,16.8,32,47,15.3,31,43,12.5,27.6,27,7.2,23.2,8,3.7,19.4,3,0.4,16.3,2,-0.3,16.7,3,1.8,18.7,4,4.9,21.8,4,9,25,9,12.6,28.9,18,15.6,30.9,26,16.29166667,16,49.53560372,597.7831521,32,-0.3,32.3,22.53333333,9.366666667,23.6,8.933333333,194,47,2,99.5589264,117,8,116,9,12
9,9,-67.91670227,-30.08329964,1290,16.8,32,47,15.3,31,43,12.5,27.6,27,7.2,23.2,8,3.7,19.4,3,0.4,16.3,2,-0.3,16.7,3,1.8,18.7,4,4.9,21.8,4,9,25,9,12.6,28.9,18,15.6,30.9,26,16.29166667,16,49.53560372,597.7831521,32,-0.3,32.3,22.53333333,9.366666667,23.6,8.933333333,194,47,2,99.5589264,117,8,116,9,12
10,10,-67.91670227,-30.08329964,1290,16.8,32,47,15.3,31,43,12.5,27.6,27,7.2,23.2,8,3.7,19.4,3,0.4,16.3,2,-0.3,16.7,3,1.8,18.7,4,4.9,21.8,4,9,25,9,12.6,28.9,18,15.6,30.9,26,16.29166667,16,49.53560372,597.7831521,32,-0.3,32.3,22.53333333,9.366666667,23.6,8.933333333,194,47,2,99.5589264,117,8,116,9,12
11,11,-67.91670227,-30.08329964,1290,16.8,32,47,15.3,31,43,12.5,27.6,27,7.2,23.2,8,3.7,19.4,3,0.4,16.3,2,-0.3,16.7,3,1.8,18.7,4,4.9,21.8,4,9,25,9,12.6,28.9,18,15.6,30.9,26,16.29166667,16,49.53560372,597.7831521,32,-0.3,32.3,22.53333333,9.366666667,23.6,8.933333333,194,47,2,99.5589264,117,8,116,9,12
12,12,-67.19999695,-37.40000153,256,14.6,33,33,13.4,31.8,29,10.8,28.9,36,6,22.9,24,3.2,18.3,16,0.6,14,16,0,14.6,11,0.6,17.2,10,3.7,20.7,18,7.2,24.1,41,10.8,28.7,32,13.6,31.6,33,15.42916667,16.775,50.83333333,617.3641121,33,0,33,19.33333333,7.833333333,23,7.833333333,299,41,10,41.96927685,106,37,95,37,2
