Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,May precipitation,October precipitation,December maximum temperature,April precipitation
154,162,47,6276,331,-13,344,234,73,234,73,213,40,4,70,108,14,108,14,6,16,315,27
150,166,47,6252,329,-17,346,229,69,229,69,216,39,4,64,106,16,106,16,7,18,312,27
153,163,47,6249,330,-13,343,233,72,233,72,211,40,4,71,108,14,108,14,6,15,314,27
154,162,47,6276,331,-13,344,234,73,234,73,213,40,4,70,108,14,108,14,6,16,315,27
131,163,48,6056,300,-33,333,196,62,210,54,163,42,2,99,106,6,99,8,2,6,291,27
131,163,48,6056,300,-33,333,196,62,210,54,163,42,2,99,106,6,99,8,2,6,291,27
131,163,48,6056,300,-33,333,196,62,210,54,163,42,2,99,106,6,99,8,2,6,291,27
131,163,48,6056,300,-33,333,196,62,210,54,163,42,2,99,106,6,99,8,2,6,291,24
128,177,50,6348,317,-33,350,199,46,210,46,158,22,7,31,57,25,48,25,10,17,301,25
128,177,50,6348,317,-33,350,199,46,210,46,158,22,7,31,57,25,48,25,10,17,301,31
128,177,50,6348,317,-33,350,199,46,210,46,158,22,7,31,57,25,48,25,10,17,301,31
128,177,50,6348,317,-33,350,199,46,210,46,158,22,7,31,57,25,48,25,10,17,301,31
118,164,49,6073,295,-37,332,74,159,196,39,88,12,4,25,29,16,19,25,12,7,286,31
128,177,50,6348,317,-33,350,199,46,210,46,158,22,7,31,57,25,48,25,10,17,301,31
128,177,50,6348,317,-33,350,199,46,210,46,158,22,7,31,57,25,48,25,10,17,301,31
118,164,49,6073,295,-37,332,74,159,196,39,88,12,4,25,29,16,19,25,12,7,286,31
131,163,48,6056,300,-33,333,196,62,210,54,163,42,2,99,106,6,99,8,2,6,291,19
77,165,50,5884,250,-76,326,3,111,154,3,174,21,10,23,57,31,42,57,14,11,239,19
77,165,50,5884,250,-76,326,3,111,154,3,174,21,10,23,57,31,42,57,14,11,239,19
77,165,50,5884,250,-76,326,3,111,154,3,174,21,10,23,57,31,42,57,14,11,239,19
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,19
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,19
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,19
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,19
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,23
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,20
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,20
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,20
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,14
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,9
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,9
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,9
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,9
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,9
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,10
70,162,50,5884,241,-83,324,-4,102,146,-4,209,30,11,33,80,36,43,80,19,13,230,21
148,164,47,6413,326,-19,345,217,72,230,65,106,23,2,80,59,7,57,7,2,6,316,22
148,164,47,6413,326,-19,345,217,72,230,65,106,23,2,80,59,7,57,7,2,6,316,21
155,159,46,6271,331,-10,341,224,74,235,74,206,40,3,73,108,12,108,12,5,14,314,21
155,159,46,6271,331,-10,341,224,74,235,74,206,40,3,73,108,12,108,12,5,14,314,21
