Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,July minimun temperature,September precipitation,October precipitation,April precipitation
166,154,48,5612,322,6,316,233,93,234,77,413,80,5,59,115,18,107,18,9,,20,27
163,158,49,5586,321,2,319,229,90,230,74,423,79,6,54,112,21,106,21,7,10,20,27
166,155,49,5603,322,6,316,232,93,234,77,413,80,5,59,113,18,107,18,11,9,20,27
166,154,48,5612,322,6,316,233,93,234,77,413,80,5,59,115,18,107,18,11,9,20,27
151,164,52,5404,303,-11,313,201,83,218,64,293,79,2,78,91,8,88,8,-13,3,20,27
151,164,52,5404,303,-11,313,201,83,218,64,293,79,2,78,91,8,88,8,-13,3,20,27
151,164,52,5404,303,-11,313,201,83,218,64,293,79,2,78,91,8,88,8,-13,3,20,27
151,164,52,5404,303,-11,313,201,83,218,64,293,79,2,78,91,8,88,8,-13,3,48,24
143,163,52,5466,303,-6,309,166,72,210,64,347,58,9,38,95,35,77,35,-6,17,33,25
143,163,52,5466,303,-6,309,166,72,210,64,347,58,9,38,95,35,77,35,-6,17,36,31
143,163,52,5466,303,-6,309,166,72,210,64,347,58,9,38,95,35,77,35,-6,17,36,31
143,163,52,5466,303,-6,309,166,72,210,64,347,58,9,38,95,35,77,35,-6,17,36,31
140,149,50,5370,298,0,297,130,153,207,62,187,22,7,28,56,32,36,38,-4,10,36,31
143,163,52,5466,303,-6,309,166,72,210,64,347,58,9,38,95,35,77,35,-6,17,36,31
143,163,52,5466,303,-6,309,166,72,210,64,347,58,9,38,95,35,77,35,-6,17,36,31
140,149,50,5370,298,0,297,130,153,207,62,187,22,7,28,56,32,36,38,-4,10,36,31
151,164,52,5404,303,-11,313,201,83,218,64,293,79,2,78,91,8,88,8,-13,3,26,19
105,152,53,4966,255,-32,287,128,147,166,28,365,48,14,23,74,44,55,71,-37,15,26,19
105,152,53,4966,255,-32,287,128,147,166,28,365,48,14,23,74,44,55,71,-37,15,26,19
105,152,53,4966,255,-32,287,128,147,166,28,365,48,14,23,74,44,55,71,-37,15,22,19
100,150,53,4846,248,-33,282,43,141,160,24,398,46,14,27,91,46,56,90,-39,17,22,19
100,150,53,4846,248,-33,282,43,141,160,24,398,46,14,27,91,46,56,90,-39,17,22,19
100,150,53,4846,248,-33,282,43,141,160,24,398,46,14,27,91,46,56,90,-39,17,22,19
100,150,53,4846,248,-33,282,43,141,160,24,398,46,14,27,91,46,56,90,-39,17,22,19
100,150,53,4846,248,-33,282,43,141,160,24,398,46,14,27,91,46,56,90,-39,17,29,22
100,150,53,4846,248,-33,282,43,141,160,24,398,46,14,27,91,46,56,90,-39,17,25,20
100,150,53,4846,248,-33,282,43,141,160,24,398,46,14,27,91,46,56,90,-39,17,25,20
100,150,53,4846,248,-33,282,43,141,160,24,398,46,14,27,91,46,56,90,,,25,20
