fid,Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,July minimum temperature,April precipitation,October precipitation
1,187,153,46,5909,353,25,328,261,110,261,110,338,61,6,68,164,22,164,22,21,19,36
2,183,158,47,5861,352,21,331,256,107,256,107,356,61,6,64,166,26,166,26,25,18,31
3,186,154,46,5895,353,25,328,260,109,260,109,338,61,6,68,164,22,164,22,25,18,31
4,187,153,46,5909,353,25,328,261,110,261,110,338,61,6,68,164,22,164,22,8,9,9
5,175,161,49,5767,334,8,325,238,105,248,101,200,48,2,91,123,8,118,9,8,9,9
6,175,161,49,5767,334,8,325,238,105,248,101,200,48,2,91,123,8,118,9,8,9,9
7,175,161,49,5767,334,8,325,238,105,248,101,200,48,2,91,123,8,118,9,8,9,9
8,175,161,49,5767,334,8,325,238,105,248,101,200,48,2,91,123,8,118,9,9,29,45
9,164,167,50,5990,343,9,334,201,87,241,87,329,45,11,41,119,41,104,41,9,29,45
10,164,167,50,5990,343,9,334,201,87,241,87,329,45,11,41,119,41,104,41,9,29,45
11,164,167,50,5990,343,9,334,201,87,241,87,329,45,11,41,119,41,104,41,9,29,45
12,164,167,50,5990,343,9,334,201,87,241,87,329,45,11,41,119,41,104,41,14,17,17
13,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,9,29,45
14,164,167,50,5990,343,9,334,201,87,241,87,329,45,11,41,119,41,104,41,9,29,45
15,164,167,50,5990,343,9,334,201,87,241,87,329,45,11,41,119,41,104,41,14,17,17
16,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,8,9,9
17,175,161,49,5767,334,8,325,238,105,248,101,200,48,2,91,123,8,118,9,-11,16,18
18,131,159,51,5510,300,-11,311,195,130,202,61,244,26,15,17,71,51,65,71,-11,16,18
19,131,159,51,5510,300,-11,311,195,130,202,61,244,26,15,17,71,51,65,71,-11,16,18
20,131,159,51,5510,300,-11,311,195,130,202,61,244,26,15,17,71,51,65,71,-11,16,17
21,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
22,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
23,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
24,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
25,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
26,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
27,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
28,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
29,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
30,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
31,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
32,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
33,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
34,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
35,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,-11,16,17
36,127,158,51,5392,294,-11,305,59,125,197,59,264,32,16,22,87,53,63,87,22,8,12
37,189,152,45,6268,354,22,332,257,107,268,107,163,33,2,70,84,11,82,11,22,8,12
38,189,152,45,6268,354,22,332,257,107,268,107,163,33,2,70,84,11,82,11,29,16,26
39,189,150,46,5930,355,29,326,263,112,263,112,319,60,5,72,160,19,160,19,29,16,26
40,189,150,46,5930,355,29,326,263,112,263,112,319,60,5,72,160,19,160,19,29,16,26
41,189,150,46,5930,355,29,326,263,112,263,112,319,60,5,72,160,19,160,19,29,16,26
42,189,150,46,5930,355,29,326,263,112,263,112,319,60,5,72,160,19,160,19,29,16,26
43,189,150,46,5930,355,29,326,263,112,263,112,319,60,5,72,160,19,160,19,21,17,33
44,184,156,47,5917,353,21,332,258,107,258,107,326,57,6,64,153,25,153,25,21,17,33
45,184,156,47,5917,353,21,332,258,107,258,107,326,57,6,64,153,25,153,25,21,17,33
46,184,156,47,5917,353,21,332,258,107,258,107,326,57,6,64,153,25,153,25,9,17,33
47,170,162,49,5906,340,9,331,244,94,244,94,315,49,6,56,137,27,137,27,-19,22,30
48,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
49,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
50,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
51,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
52,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
53,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
54,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
55,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
56,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
57,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,-19,22,30
58,131,162,51,5600,297,-19,316,197,65,203,60,320,36,15,30,107,52,106,55,14,17,17
59,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,14,17,17
60,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,14,17,17
61,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,14,17,17
62,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,14,17,17
63,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,14,17,17
64,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,14,17,17
65,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,14,17,17
66,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,14,17,17
67,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,14,17,17
68,162,153,47,5984,333,14,319,118,99,240,86,161,17,10,18,49,36,37,41,3,17,13
69,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,3,17,13
70,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,3,17,13
71,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,3,17,13
72,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,3,17,13
73,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,3,17,13
74,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,3,17,13
75,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,3,17,13
76,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,3,17,13
77,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,15,18,11
78,131,125,46,5259,281,13,267,69,187,199,63,193,26,10,33,75,31,34,66,15,18,11
79,131,125,46,5259,281,13,267,69,187,199,63,193,26,10,33,75,31,34,66,15,18,11
80,131,125,46,5259,281,13,267,69,187,199,63,193,26,10,33,75,31,34,66,15,18,11
81,131,125,46,5259,281,13,267,69,187,199,63,193,26,10,33,75,31,34,66,15,18,11
82,131,125,46,5259,281,13,267,69,187,199,63,193,26,10,33,75,31,34,66,15,18,11
83,131,125,46,5259,281,13,267,69,187,199,63,193,26,10,33,75,31,34,66,15,18,11
84,131,125,46,5259,281,13,267,69,187,199,63,193,26,10,33,75,31,34,66,16,18,10
85,137,124,46,5180,281,16,265,99,108,203,70,191,26,10,27,65,33,45,55,17,18,10
86,138,123,46,5183,282,17,265,100,109,204,71,191,26,10,27,65,33,45,55,16,18,10
87,137,124,46,5180,281,16,265,99,108,203,70,191,26,10,27,65,33,45,55,16,18,10
88,137,124,46,5180,281,16,265,99,108,203,70,191,26,10,27,65,33,45,55,44,54,83
89,184,145,51,4615,323,44,280,240,123,240,123,788,124,12,66,351,37,351,37,34,71,73
90,148,129,46,5048,310,33,277,186,87,214,87,822,116,33,28,264,139,262,139,47,76,99
91,180,133,48,4838,319,47,272,230,116,240,116,840,127,17,59,351,53,325,53,41,25,22
92,207,153,49,5502,352,41,311,263,134,273,134,413,86,8,78,234,26,206,26,41,25,22
93,207,153,49,5502,352,41,311,263,134,273,134,413,86,8,78,234,26,206,26,41,25,22
94,207,153,49,5502,352,41,311,263,134,273,134,413,86,8,78,234,26,206,26,41,25,22
95,207,153,49,5502,352,41,311,263,134,273,134,413,86,8,78,234,26,206,26,41,25,22
96,207,153,49,5502,352,41,311,263,134,273,134,413,86,8,78,234,26,206,26,41,25,22
97,207,153,49,5502,352,41,311,263,134,273,134,413,86,8,78,234,26,206,26,41,25,22
98,207,153,49,5502,352,41,311,263,134,273,134,413,86,8,78,234,26,206,26,67,29,27
99,220,137,46,5273,360,67,293,283,148,283,148,450,84,5,77,233,16,233,16,67,29,27
100,220,137,46,5273,360,67,293,283,148,283,148,450,84,5,77,233,16,233,16,6,23,40
101,157,163,49,5912,332,6,327,195,97,232,81,285,40,12,34,102,44,79,46,9,29,45
102,164,167,50,5990,343,9,334,201,87,241,87,329,45,11,41,119,41,104,41,11,26,60
103,158,163,49,5914,338,11,327,228,89,235,82,416,60,14,44,148,46,134,52,3,20,12
104,126,146,50,5397,289,3,286,65,185,195,59,216,42,8,53,100,28,28,91,3,17,13
105,122,131,47,5383,279,3,276,59,180,192,54,190,25,9,30,71,30,34,63,13,18,11
106,135,128,46,5308,285,12,272,72,136,203,67,191,24,11,24,65,35,43,56,16,24,24
107,145,134,47,5440,301,16,285,181,89,215,76,247,26,14,18,73,49,61,57,16,24,24
108,145,134,47,5440,301,16,285,181,89,215,76,247,26,14,18,73,49,61,57,16,24,24
109,145,134,47,5440,301,16,285,181,89,215,76,247,26,14,18,73,49,61,57,16,24,24
110,145,134,47,5440,301,16,285,181,89,215,76,247,26,14,18,73,49,61,57,16,24,24
111,145,134,47,5440,301,16,285,181,89,215,76,247,26,14,18,73,49,61,57,16,24,24
112,145,134,47,5440,301,16,285,181,89,215,76,247,26,14,18,73,49,61,57,16,24,24
113,145,134,47,5440,301,16,285,181,89,215,76,247,26,14,18,73,49,61,57,13,25,26
114,149,145,48,5689,315,13,302,186,91,222,77,254,28,12,21,74,48,59,56,19,11,17
115,181,153,46,6034,346,19,328,249,102,256,102,226,42,4,70,113,14,113,14,14,12,34
116,179,161,47,5991,353,14,339,254,133,254,102,286,47,5,59,127,28,127,28,24,9,14
117,188,150,45,6193,351,24,327,255,107,265,107,163,31,3,61,77,14,76,14,24,9,14
118,188,150,45,6193,351,24,327,255,107,265,107,163,31,3,61,77,14,76,14,-13,17,20
119,132,161,51,5593,301,-13,314,197,91,204,61,246,27,15,17,76,52,70,61,-16,17,21
120,130,161,51,5608,299,-16,315,195,89,202,59,245,27,15,17,76,51,71,59,-11,16,18
121,131,159,51,5510,300,-11,311,195,130,202,61,244,26,15,17,71,51,65,71,,,
