Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,85pr1,85pr2,85pr3,April precipitation,85pr5,85pr6,85pr7,85pr8,85pr9,October precipitation,85pr11,85pr12,ctn1,ctn3,ctn4,ctn5,ctn8,ctn9,ctn10,ctx1,ctx3,ctx4,ctx5,ctx8,ctx9,ctx10
203,155,47,6002,365,36,329,277,124,277,124,380,74,5,76,204,20,204,20,74,69,45,20,8,6,9,5,11,30,42,61,206,176,124,80,55,89,128,365,325,272,227,221,258,288
200,159,47,5979,364,32,332,273,121,273,121,393,74,6,72,204,23,204,23,74,68,46,21,10,6,11,6,11,35,43,62,200,170,119,73,49,82,122,364,325,272,226,218,255,286
203,156,47,5988,365,36,329,276,124,276,124,380,74,5,76,203,20,203,20,74,69,45,20,8,6,9,5,11,30,42,61,204,175,124,78,54,88,128,365,325,274,227,221,259,288
203,155,47,6002,365,36,329,277,124,277,124,380,74,5,76,204,20,204,20,74,69,45,20,8,6,9,5,11,30,42,61,206,176,124,80,55,89,128,365,325,272,227,221,258,288
194,162,49,5762,349,24,324,256,123,266,119,214,54,2,97,136,7,134,7,54,51,30,10,3,2,2,3,4,8,17,29,199,155,105,66,47,80,121,349,306,264,225,222,254,286
194,162,49,5762,349,24,324,256,123,266,119,214,54,2,97,136,7,134,7,54,51,30,10,3,2,2,3,4,8,17,29,199,155,105,66,47,80,121,349,306,264,225,222,254,286
194,162,49,5762,349,24,324,256,123,266,119,214,54,2,97,136,7,134,7,54,51,30,10,3,2,2,3,4,8,17,29,199,155,105,66,47,80,121,349,306,264,225,222,254,286
194,162,49,5762,349,24,324,256,123,266,119,214,54,2,97,136,7,134,7,54,51,30,10,3,2,2,3,4,8,17,29,199,155,105,66,47,80,121,349,306,264,225,222,254,286
180,166,49,6104,354,21,333,247,101,258,101,362,48,10,46,138,39,127,39,48,34,41,30,15,17,12,10,18,47,45,45,176,136,91,55,27,59,97,354,316,254,207,195,232,268
180,166,49,6104,354,21,333,247,101,258,101,362,48,10,46,138,39,127,39,48,34,41,30,15,17,12,10,18,47,45,45,176,136,91,55,27,59,97,354,316,254,207,195,232,268
