fid,Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,July minimum temperature,October precipitation,April precipitation
1,195,157,46,6150,364,24,340,273,117,273,117,303,65,4,75,154,16,154,16,20,32,15
2,191,161,46,6143,363,20,343,269,113,269,113,314,65,5,73,155,18,155,18,24,27,14
3,194,158,46,6144,364,24,340,273,116,273,116,303,65,5,75,154,17,154,17,24,27,14
4,195,157,46,6150,364,24,340,273,117,273,117,303,65,4,75,154,16,154,16,7,8,8
5,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,7,8,8
6,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,7,8,8
7,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,7,8,8
8,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,10,36,20
9,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,10,36,20
10,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,10,36,20
11,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,10,36,20
12,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,15,14,12
13,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,10,36,20
14,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,10,36,20
15,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,15,14,12
16,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,7,8,8
17,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,-15,13,13
18,137,165,50,5831,314,-15,329,64,171,212,64,190,21,11,17,59,39,45,59,-15,13,13
19,137,165,50,5831,314,-15,329,64,171,212,64,190,21,11,17,59,39,45,59,-15,13,13
20,137,165,50,5831,314,-15,329,64,171,212,64,190,21,11,17,59,39,45,59,-16,13,13
21,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
22,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
23,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
24,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
25,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
26,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
