Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,85mpr1,85mpr2,85mpr3,April precipitation,85mpr5,85mpr6,85mpr7,85mpr8,85mpr9,October precipitation,85mpr11,85mpr12,85tn1,85tn3,85tn4,85tn5,85tn8,85tn9,85tn10,85mtx1,85mtx3,85mtx4,85mtx5,85mtx8,85mtx9,85mtx10
213,158,46,6219,381,43,338,292,134,292,134,291,55,4,75,153,13,153,13,65,42,45,14,8,5,7,4,8,27,31,47,222,187,135,80,59,93,137,381,330,280,233,237,270,302
210,162,47,6206,380,39,341,288,130,288,130,305,54,4,72,153,14,153,14,65,41,46,15,9,5,8,5,8,32,31,48,216,181,130,73,53,86,131,380,329,280,231,233,268,301
213,158,46,6214,381,43,338,291,133,291,133,291,55,4,75,153,13,153,13,65,42,45,14,8,5,7,5,7,27,31,47,221,186,135,79,58,93,137,381,330,281,233,236,271,302
213,158,46,6219,381,43,338,292,134,292,134,291,55,4,75,153,13,153,13,65,42,45,14,8,5,7,4,8,27,31,47,222,187,135,80,59,93,137,381,330,280,233,237,270,302
204,168,49,5972,368,30,337,270,132,281,129,143,36,1,93,90,5,89,5,49,37,31,8,2,1,2,3,3,8,15,21,214,167,117,67,47,80,126,368,320,279,234,237,261,290
204,168,49,5972,368,30,337,270,132,281,129,143,36,1,93,90,5,89,5,49,37,31,8,2,1,2,3,3,8,15,21,214,167,117,67,47,80,126,368,320,279,234,237,261,290
204,168,49,5972,368,30,337,270,132,281,129,143,36,1,93,90,5,89,5,49,37,31,8,2,1,2,3,3,8,15,21,214,167,117,67,47,80,126,368,320,279,234,237,261,290
204,168,49,5972,368,30,337,270,132,281,129,143,36,1,93,90,5,89,5,49,37,31,8,2,1,2,3,3,8,15,21,214,167,117,67,47,80,126,368,320,279,234,237,261,290
190,182,50,6532,382,21,361,261,126,274,107,262,52,6,55,106,23,82,27,29,26,34,20,12,16,9,10,13,36,24,25,185,142,95,49,26,57,102,382,327,271,216,213,249,291
190,182,50,6532,382,21,361,261,126,274,107,262,52,6,55,106,23,82,27,29,26,34,20,12,16,9,10,13,36,24,25,185,142,95,49,26,57,102,382,327,271,216,213,249,291
190,182,50,6532,382,21,361,261,126,274,107,262,52,6,55,106,23,82,27,29,26,34,20,12,16,9,10,13,36,24,25,185,142,95,49,26,57,102,382,327,271,216,213,249,291
190,182,50,6532,382,21,361,261,126,274,107,262,52,6,55,106,23,82,27,29,26,34,20,12,16,9,10,13,36,24,25,185,142,95,49,26,57,102,382,327,271,216,213,249,291
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
190,182,50,6532,382,21,361,261,126,274,107,262,52,6,55,106,23,82,27,29,26,34,20,12,16,9,10,13,36,24,25,185,142,95,49,26,57,102,382,327,271,216,213,249,291
190,182,50,6532,382,21,361,261,126,274,107,262,52,6,55,106,23,82,27,29,26,34,20,12,16,9,10,13,36,24,25,185,142,95,49,26,57,102,382,327,271,216,213,249,291
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
204,168,49,5972,368,30,337,270,132,281,129,143,36,1,93,90,5,89,5,49,37,31,8,2,1,2,3,3,8,15,21,214,167,117,67,47,80,126,368,320,279,234,237,261,290
156,172,51,6018,332,0,331,223,122,234,79,175,26,8,29,60,30,46,47,17,17,18,13,14,19,21,19,14,13,15,11,148,116,74,26,7,25,66,332,283,241,187,174,208,253
156,172,51,6018,332,0,331,223,122,234,79,175,26,8,29,60,30,46,47,17,17,18,13,14,19,21,19,14,13,15,11,148,116,74,26,7,25,66,332,283,241,187,174,208,253
156,172,51,6018,332,0,331,223,122,234,79,175,26,8,29,60,30,46,47,17,17,18,13,14,19,21,19,14,13,15,11,148,116,74,26,7,25,66,332,283,241,187,174,208,253
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
152,170,52,5916,326,-1,326,76,118,228,76,187,24,8,29,58,33,44,58,16,16,17,13,17,25,27,22,16,13,16,11,142,112,72,24,4,22,62,326,277,238,183,169,203,248
215,160,46,6392,382,40,342,296,133,296,133,120,25,1,76,67,6,67,6,34,23,23,6,2,3,3,1,5,9,14,17,227,186,134,78,58,95,140,382,332,284,236,239,270,306
215,160,46,6392,382,40,342,296,133,296,133,120,25,1,76,67,6,67,6,34,23,23,6,2,3,3,1,5,9,14,17,227,186,134,78,58,95,140,382,332,284,236,239,270,306
216,156,46,6202,382,47,335,294,136,294,136,273,55,3,79,149,11,149,11,64,42,44,13,6,4,6,4,7,23,30,44,227,190,139,83,62,98,142,382,331,282,235,238,272,304
216,156,46,6202,382,47,335,294,136,294,136,273,55,3,79,149,11,149,11,64,42,44,13,6,4,6,4,7,23,30,44,227,190,139,83,62,98,142,382,331,282,235,238,272,304
216,156,46,6202,382,47,335,294,136,294,136,273,55,3,79,149,11,149,11,64,42,44,13,6,4,6,4,7,23,30,44,227,190,139,83,62,98,142,382,331,282,235,238,272,304
216,156,46,6202,382,47,335,294,136,294,136,273,55,3,79,149,11,149,11,64,42,44,13,6,4,6,4,7,23,30,44,227,190,139,83,62,98,142,382,331,282,235,238,272,304
216,156,46,6202,382,47,335,294,136,294,136,273,55,3,79,149,11,149,11,64,42,44,13,6,4,6,4,7,23,30,44,227,190,139,83,62,98,142,382,331,282,235,238,272,304
211,161,47,6238,381,39,342,289,131,289,131,275,49,4,72,140,14,140,14,61,39,42,13,9,5,8,5,8,29,29,43,218,182,131,75,55,87,133,381,330,280,232,234,269,302
211,161,47,6238,381,39,342,289,131,289,131,275,49,4,72,140,14,140,14,61,39,42,13,9,5,8,5,8,29,29,43,218,182,131,75,55,87,133,381,330,280,232,234,269,302
211,161,47,6238,381,39,342,289,131,289,131,275,49,4,72,140,14,140,14,61,39,42,13,9,5,8,5,8,29,29,43,218,182,131,75,55,87,133,381,330,280,232,234,269,302
197,171,49,6291,370,26,344,277,117,277,117,253,41,5,66,120,15,120,15,53,34,38,14,8,5,7,7,12,26,27,34,200,165,108,56,36,71,114,370,322,273,223,223,258,291
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
158,174,52,6030,329,-5,335,226,97,235,81,238,37,8,44,95,32,84,33,34,26,30,17,12,12,16,14,17,21,27,21,154,120,70,23,1,28,70,329,282,241,189,182,214,252
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
187,170,49,6489,371,30,341,182,121,272,105,109,12,5,22,35,21,24,27,9,7,8,12,14,13,9,11,9,14,6,8,185,139,99,57,35,60,103,371,322,266,206,195,230,283
141,139,47,5644,307,16,291,74,200,214,69,150,23,6,40,63,19,24,57,7,12,10,13,20,27,19,16,12,12,9,8,136,104,72,39,23,37,66,307,268,215,149,137,169,218
