Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,April precipitation,August minimum temperature,October precipitation
177,156,48,5811,335,11,324,246,99,246,99,285,49,4,67,138,18,138,18,15,25,23
173,160,48,5776,334,7,327,242,96,242,96,298,50,5,63,139,21,139,21,14,30,23
176,156,48,5802,335,11,324,245,99,245,99,284,49,4,67,138,18,138,18,14,31,23
177,156,48,5811,335,11,324,246,99,246,99,285,49,4,67,138,18,138,18,7,7,23
157,167,51,5601,312,-13,324,226,87,226,84,172,40,2,85,99,8,99,8,7,7,23
157,167,51,5601,312,-13,324,226,87,226,84,172,40,2,85,99,8,99,8,7,7,23
157,167,51,5601,312,-13,324,226,87,226,84,172,40,2,85,99,8,99,8,7,7,23
157,167,51,5601,312,-13,324,226,87,226,84,172,40,2,85,99,8,99,8,21,0,46
152,171,51,5967,325,-6,331,199,93,225,73,256,33,9,36,95,34,77,35,21,0,28
152,171,51,5967,325,-6,331,199,93,225,73,256,33,9,36,95,34,77,35,21,0,33
152,171,51,5967,325,-6,331,199,93,225,73,256,33,9,36,95,34,77,35,21,0,33
152,171,51,5967,325,-6,331,199,93,225,73,256,33,9,36,95,34,77,35,14,7,33
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,21,0,33
152,171,51,5967,325,-6,331,199,93,225,73,256,33,9,36,95,34,77,35,21,0,33
152,171,51,5967,325,-6,331,199,93,225,73,256,33,9,36,95,34,77,35,14,7,33
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,7,7,33
157,167,51,5601,312,-13,324,226,87,226,84,172,40,2,85,99,8,99,8,14,-27,29
113,162,52,5485,274,-37,311,40,124,181,40,214,26,13,19,68,44,52,68,14,-27,29
113,162,52,5485,274,-37,311,40,124,181,40,214,26,13,19,68,44,52,68,14,-27,29
113,162,52,5485,274,-37,311,40,124,181,40,214,26,13,19,68,44,52,68,15,-31,24
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,24
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,24
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,24
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,24
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,32
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,28
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,28
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,28
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,30
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,11
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,11
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,13
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,11
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,12
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,15,-31,12
108,160,52,5400,268,-39,307,36,118,175,36,241,33,13,29,87,46,52,87,6,25,13
174,158,47,6077,334,4,330,248,93,248,93,139,27,1,68,69,9,69,9,6,25,13
174,158,47,6077,334,4,330,248,93,248,93,139,27,1,68,69,9,69,9,13,34,13
179,154,47,5807,336,14,322,248,101,248,101,270,49,3,71,136,15,136,15,13,34,13
179,154,47,5807,336,14,322,248,101,248,101,270,49,3,71,136,15,136,15,13,34,13
179,154,47,5807,336,14,322,248,101,248,101,270,49,3,71,136,15,136,15,13,34,14
179,154,47,5807,336,14,322,248,101,248,101,270,49,3,71,136,15,136,15,13,34,15
179,154,47,5807,336,14,322,248,101,248,101,270,49,3,71,136,15,136,15,13,27,13
174,159,48,5824,335,7,328,243,96,243,96,273,46,5,63,128,21,128,21,13,27,13
174,159,48,5824,335,7,328,243,96,243,96,273,46,5,63,128,21,128,21,13,27,13
174,159,48,5824,335,7,328,243,96,243,96,273,46,5,63,128,21,128,21,13,7,13
158,167,51,5807,321,-5,326,225,82,228,82,256,40,5,56,111,21,111,21,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,16,-28,13
117,166,53,5477,275,-36,311,180,73,185,45,254,32,12,31,90,42,85,45,14,7,13
