S,x,y
Tympanoctomys,-66.263889,-27.834167
Tympanoctomys,-66.263889,-27.834167
Tympanoctomys,-66.263889,-27.834167
Tympanoctomys,-66.263889,-27.834167
Tympanoctomys,-66.263889,-27.834167
Tympanoctomys,-66.263889,-27.834167
Tympanoctomys,-66.263889,-27.834167
Tympanoctomys,-65.55,-37.95
Tympanoctomys,-67.155556,-38.152778
Tympanoctomys,-67.2,-37.4
Tympanoctomys,-67.2,-37.4
Tympanoctomys,-67.2,-37.4
Tympanoctomys,-67.2,-37.4
Tympanoctomys,-67.2,-37.383333
Tympanoctomys,-67.2,-37.4
Tympanoctomys,-67.2,-37.4
Tympanoctomys,-67.3333,-33.2666
Tympanoctomys,-67.3333,-33.2666
Tympanoctomys,-67.3333,-33.2666
Tympanoctomys,-67.2833,-32.8167
Tympanoctomys,-67.2833,-32.8167
Tympanoctomys,-67.2833,-32.8167
Tympanoctomys,-67.2833,-32.8167
Tympanoctomys,-67.2833,-32.8167
Tympanoctomys,-67.1833,-33.4167
Tympanoctomys,-67.2333,-33.0833
Tympanoctomys,-67.25,-33.1
Tympanoctomys,-67.23333333,-33.05
Tympanoctomys,-67.56666,-33.466
Tympanoctomys,-68.2,-32.15
Tympanoctomys,-68.2,-32.15
Tympanoctomys,-68.472194,-32.333972
Tympanoctomys,-68.200086,-32.158503
Tympanoctomys,-68.206816,-32.185897
Tympanoctomys,-68.07077778,-32.12688889
Tympanoctomys,-69.3,-35.78333333
Tympanoctomys,-69.36666667,-35.76666667
Tympanoctomys,-69.251,-35.722
Tympanoctomys,-69.251,-35.722
Tympanoctomys,-69.251,-35.722
Tympanoctomys,-69.043361,-35.728111
Tympanoctomys,-69.036083,-35.751778
Tympanoctomys,-69.25162,-35.722156
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-69.4666,-35.6833
Tympanoctomys,-68.7667,-35.3167
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-68.6666,-35.0166
Tympanoctomys,-67.9666,-34.0333
Tympanoctomys,-67.963471,-32.99824
Tympanoctomys,-68.8833,-38.1666
Tympanoctomys,-68.8833,-38.1666
Tympanoctomys,-68.8833,-38.1666
Tympanoctomys,-68.8833,-38.1666
Tympanoctomys,-68.8833,-38.1666
Tympanoctomys,-68.8833,-38.1666
Tympanoctomys,-68.8833,-38.1666
Tympanoctomys,-68.8833,-38.1666
Tympanoctomys,-68.8833,-38.1666
Tympanoctomys,-68.95,-38.23333333
Tympanoctomys,-68.95,-38.23333333
Tympanoctomys,-68.95,-38.23333333
Tympanoctomys,-70.059139,-39.210417
Tympanoctomys,-68.148329,-31.715189
Tympanoctomys,-67.9167,-30.0833
Tympanoctomys,-67.9167,-30.0833
Tympanoctomys,-67.9167,-30.0833
Tympanoctomys,-67.9167,-30.0833
Tympanoctomys,-67.9167,-30.0833
Tympanoctomys,-68.646972,-43.231
Tympanoctomys,-68.6469,-43.2308
Tympanoctomys,-68.6469,-43.2308
Tympanoctomys,-68.6469,-43.2308
Tympanoctomys,-68.6469,-43.2308
Tympanoctomys,-68.6469,-43.2308
Tympanoctomys,-68.6469,-43.2308
Tympanoctomys,-68.6469,-43.2308
Tympanoctomys,-68.6469,-43.2308
Tympanoctomys,-67.68305556,-43.23055556
Tympanoctomys,-65.520389,-30.045389
Tympanoctomys,-65.520389,-30.045389
